common_name,species_code,family,species_group,total_appearances,total_appearances_rank
Fish Crow,fiscro,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",157,28
Yellow-rumped Warbler,yerwar,Parulidae (New World Warblers),Wood-Warblers,151,29
House Finch,houfin,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",140,30
Dark-eyed Junco,daejun,Passerellidae (New World Sparrows),New World Sparrows,139,31
Scarlet Tanager,scatan,Cardinalidae (Cardinals and Allies),"Cardinals, Grosbeaks, and Allies",137,32
Red-eyed Vireo,reevir1,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireos,135,33
Blackpoll Warbler,bkpwar,Parulidae (New World Warblers),Wood-Warblers,131,34
Black-throated Blue Warbler,btbwar,Parulidae (New World Warblers),Wood-Warblers,127,35
Baltimore Oriole,balori,Icteridae (Troupials and Allies),Blackbirds,124,36
Chipping Sparrow,chispa,Passerellidae (New World Sparrows),New World Sparrows,123,37
White-breasted Nuthatch,whbnut,Sittidae (Nuthatches),Nuthatches,122,38
American Kestrel,amekes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,117,39
Cooper's Hawk,coohaw,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",111,40
Rose-breasted Grosbeak,robgro,Cardinalidae (Cardinals and Allies),"Cardinals, Grosbeaks, and Allies",109,41
Eastern Phoebe,easpho,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",108,42
Northern Mockingbird,normoc,Mimidae (Mockingbirds and Thrashers),"Catbirds, Mockingbirds, and Thrashers",106,43
Blue-headed Vireo,buhvir,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireos,103,44
Golden-crowned Kinglet,gockin,Regulidae (Kinglets),Kinglets,96,45
Magnolia Warbler,magwar,Parulidae (New World Warblers),Wood-Warblers,92,46
Eastern Towhee,eastow,Passerellidae (New World Sparrows),New World Sparrows,88,47
Great Crested Flycatcher,grcfly,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",85,48
Swainson's Thrush,swathr,Turdidae (Thrushes and Allies),Thrushes,81,49
Double-crested Cormorant,doccor,Phalacrocoracidae (Cormorants and Shags),Cormorants and Anhingas,73,50
Yellow Warbler,yelwar,Parulidae (New World Warblers),Wood-Warblers,72,51
Song Sparrow,sonspa,Passerellidae (New World Sparrows),New World Sparrows,70,52
Canada Goose,cangoo,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,69,53
Black-throated Green Warbler,btnwar,Parulidae (New World Warblers),Wood-Warblers,65,54
Bay-breasted Warbler,babwar,Parulidae (New World Warblers),Wood-Warblers,63,55
Brown Creeper,brncre,Certhiidae (Treecreepers),Treecreepers,58,56
Veery,veery,Turdidae (Thrushes and Allies),Thrushes,58,57
Palm Warbler,palwar,Parulidae (New World Warblers),Wood-Warblers,55,58
American Herring Gull,amhgul1,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",54,59
