speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,subnational2Code,subnational2Name,subnational1Code,subnational1Name,countryCode,countryName,userDisplayName,obsId,checklistId,presenceNoted,hasComments,firstName,lastName,hasRichMedia,exoticCategory
blujay,Blue Jay,Cyanocitta cristata,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095775,CL23822,False,False,Greg,Thornberg,False,
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095773,CL23822,True,False,Greg,Thornberg,False,N
normoc,Northern Mockingbird,Mimus polyglottos,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095779,CL23822,False,False,Greg,Thornberg,False,
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095777,CL23822,False,False,Greg,Thornberg,False,
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095782,CL23822,True,False,Greg,Thornberg,False,N
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095776,CL23822,False,False,Greg,Thornberg,False,
amecro,American Crow,Corvus brachyrhynchos,L2987624,McGolrick Park,2024-01-06 08:47:00,,40.7245046,-73.9433616,True,False,False,S158308762,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1917681546,CL23822,False,False,Michael,Lombardo,False,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L2987624,McGolrick Park,2024-01-07 15:39:00,,40.7245046,-73.9433616,True,False,False,S158384473,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1918495449,CL23822,False,False,Greg,Thornberg,False,
moudov,Mourning Dove,Zenaida macroura,L2987624,McGolrick Park,2024-01-07 13:38:00,,40.7245046,-73.9433616,True,False,False,S158371414,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1918362862,CL23822,False,False,Michael,Lombardo,False,
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-07 13:38:00,,40.7245046,-73.9433616,True,False,False,S158371414,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1918362865,CL23822,False,False,Michael,Lombardo,False,N
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-07 13:38:00,,40.7245046,-73.9433616,True,False,False,S158371414,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1918362863,CL23822,False,False,Michael,Lombardo,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-07 13:24:00,,40.7245046,-73.9433616,True,False,False,S158368616,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1918345187,CL23822,True,False,Greg,Thornberg,False,N
